OPENDUCK MINI V3 ENHANCED - MASTER PROCUREMENT TRACKER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"Last Update: 12 January 2026, 18:53 | Budget Totale: ~€1,718",,,,,,,
,,,,,,,
✅ FASE 1 - GIA ACQUISTATO,,,,,,,
✓,Componente,Prezzo €,Fornitore,Data Ordine,Note,Status,Tracking
✅,QIDI X-Max 3 Stampante 3D,599,Amazon.it,Dic 2025,Core System - 300x300x300mm build,RICEVUTO,Consegnato
,,TOTALE GIA SPESO:,599,,,,
,,,,,,,
🛒 FASE 2 - ORDINE AMAZON.IT (PROCEDI CHECKOUT),,,,,,,
✓,Componente,Prezzo €,Fornitore,Data Ordine,Note,Status,Tracking
✅,FILAMENTI - Prusament Galaxy PLA 2×1kg,75.98,Amazon.it,DA ORDINARE,Premium structural filament,CARRELLO,13-16 gen
✅,FILAMENTI - Polymaker PLA Pro Bianco 1kg,37.99,Amazon.it,DA ORDINARE,Engineering-grade PLA,CARRELLO,13-16 gen
✅,FILAMENTI - eSUN PLA+ Bianco 1kg,20.52,Amazon.it,DA ORDINARE,Reliable standard PLA,CARRELLO,14 gen
✅,FILAMENTI - SUNLU Silk PLA Plus Triplo 1kg,18.99,Amazon.it,DA ORDINARE,Creative Nero-Oro-Viola,CARRELLO,13-16 gen
✅,FILAMENTI - JAYO TPU 95A 0.5kg,15.99,Amazon.it,DA ORDINARE,Flexible feet pads,CARRELLO,13 gen
✅,Raspberry Pi Zero 2W 512MB RAM,23.8,Amazon.it,DA ORDINARE,UPGRADE: CPU insufficiente (47-83% carico). Sostituire con Pi 4 4GB,⚠️ DA RIMUOVERE,13-16 gen
✅,SanDisk Ultra 32GB microSD Class 10,11.99,Amazon.it,DA ORDINARE,OS storage A1 rated,CARRELLO,13-16 gen
✅,Adafruit BNO085 9-DOF IMU,42.59,Amazon.it,DA ORDINARE,Motion tracking sensor,CARRELLO,13-22 gen
✅,AYWHP INMP441 I2S Microphone (6 pcs),15.99,Amazon.it,DA ORDINARE,Audio input system,CARRELLO,13-16 gen
✅,AZDelivery MAX98357A I2S Amplifier,10.99,Amazon.it,DA ORDINARE,Audio output amplifier,CARRELLO,13-16 gen
✅,Paradisetronic Speaker 2W 8Ω 40mm,10.05,Amazon.it,DA ORDINARE,Mini speaker for voice,CARRELLO,16 gen
✅,Aihasd HC-SR04 Ultrasonic (3 pcs),7.59,Amazon.it,DA ORDINARE,Obstacle detection,CARRELLO,13-16 gen
✅,TXS0108E Level Shifter (10 pcs),9.99,Amazon.it,DA ORDINARE,3.3V ↔ 5V bidirectional,CARRELLO,22 gen
✅,5pcs 2S BMS 20A Battery Protection,17.18,Amazon.it,DA ORDINARE,Li-ion battery safety,CARRELLO,13-16 gen
✅,ZHITING UBEC 5V 3A Step-Down,6.99,Amazon.it,DA ORDINARE,Electronics power rail,CARRELLO,13-16 gen
✅,YIXISI 5 Paia XT30 Connectors,9.59,Amazon.it,DA ORDINARE,Power distribution 30A,CARRELLO,13 gen
✅,Yiqigou 2pcs XT30 Extension Cable,8.79,Amazon.it,DA ORDINARE,Power cable extensions,CARRELLO,13-16 gen
✅,Enerpower 2S Li-ion Charger 7.4V,19.44,Amazon.it,DA ORDINARE,Battery charging system,CARRELLO,13 gen
